iteration,version,config,metrics,score,status,error_msg,best_score,search_time_s
0,0,"{""tp"": 4, ""dp"": 4, ""pp"": 1, ""ep"": 4, ""micro_batch_size"": 2, ""activation_checkpointing"": true}","{""gpu_step_score"": 1.0072704569794446}",1.0072704569794446,success,,1.0072704569794446,
1,1,"{""tp"": 2, ""dp"": 2, ""pp"": 1, ""ep"": 2, ""micro_batch_size"": 2, ""activation_checkpointing"": true}",{},-inf,error,"exit 1: rors.ChildFailedError: 
============================================================
pretrain_gpt.py FAILED
------------------------------------------------------------
Failures:
  <NO_OTHER_FAILURES>
------------------------------------------------------------
Root Cause (first observed failure):
[0]:
  time      : 2026-05-05_09:45:45
  host      : nid001720-hsn0
  rank      : 0 (local_rank: 0)
  exitcode  : 2 (pid: 72140)
  error_file: <N/A>
  traceback : To enable traceback see: https://pytorch.org/docs/stable/elastic/errors.html
============================================================
",1.0072704569794446,25.5
2,2,"{""tp"": 4, ""dp"": 2, ""pp"": 1, ""ep"": 2, ""micro_batch_size"": 2, ""activation_checkpointing"": true}",{},-inf,error,"exit 1: server/api.py"", line 650, in _assign_worker_ranks
    ) = json.loads(store.get(f""{ASSIGNED_RANKS_PREFIX}{group_rank}""))
                   ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
torch.distributed.DistNetworkError: Failed to recv, got 0 bytes. Connection was likely closed. Did the remote server shutdown or crash?
srun: error: nid001720: task 0: Exited with exit code 1
srun: Terminating StepId=52489497.1
srun: error: nid002088: task 1: Exited with exit code 1
srun: error: nid002273: task 2: Terminated
srun: error: nid002445: task 3: Terminated
srun: Force Terminated StepId=52489497.1
",1.0072704569794446,27.9
3,3,"{""tp"": 2, ""dp"": 2, ""pp"": 3, ""ep"": 2, ""micro_batch_size"": 1, ""activation_checkpointing"": true}","{""gpu_step_score"": 1.3559266921430841}",1.3559266921430841,success,,1.3559266921430841,36.2
4,4,"{""tp"": 2, ""dp"": 1, ""pp"": 3, ""ep"": 1, ""micro_batch_size"": 1, ""activation_checkpointing"": true}",{},-inf,error,"exit 1: server/api.py"", line 650, in _assign_worker_ranks
    ) = json.loads(store.get(f""{ASSIGNED_RANKS_PREFIX}{group_rank}""))
                   ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
torch.distributed.DistNetworkError: Failed to recv, got 0 bytes. Connection was likely closed. Did the remote server shutdown or crash?
srun: error: nid001720: task 0: Exited with exit code 1
srun: Terminating StepId=52489497.3
srun: error: nid002273: task 2: Exited with exit code 1
srun: error: nid002088: task 1: Terminated
srun: error: nid002445: task 3: Terminated
srun: Force Terminated StepId=52489497.3
",1.3559266921430841,38.9
5,5,"{""tp"": 1, ""dp"": 2, ""pp"": 3, ""ep"": 2, ""micro_batch_size"": 1, ""activation_checkpointing"": true}",{},-inf,error,"exit 1: "", line 650, in _assign_worker_ranks
    ) = json.loads(store.get(f""{ASSIGNED_RANKS_PREFIX}{group_rank}""))
                   ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
torch.distributed.DistNetworkError: Failed to recv, got 0 bytes. Connection was likely closed. Did the remote server shutdown or crash?
srun: error: nid002273: task 2: Exited with exit code 1
srun: Terminating StepId=52489497.4
srun: error: nid001720: task 0: Exited with exit code 1
srun: error: nid002445: task 3: Exited with exit code 1
srun: error: nid002088: task 1: Terminated
srun: Force Terminated StepId=52489497.4
",1.3559266921430841,33.5
6,6,"{""tp"": 2, ""dp"": 4, ""pp"": 1, ""ep"": 4, ""micro_batch_size"": 1, ""activation_checkpointing"": true}",{},-inf,error,"exit 1: Root Cause (first observed failure):
[0]:
  time      : 2026-05-05_10:16:03
  host      : nid002088-hsn0
  rank      : 5 (local_rank: 1)
  exitcode  : 1 (pid: 1705656)
  error_file: <N/A>
  traceback : To enable traceback see: https://pytorch.org/docs/stable/elastic/errors.html
============================================================
srun: error: nid001720: task 0: Exited with exit code 1
srun: Terminating StepId=52489497.5
srun: error: nid002088: task 1: Exited with exit code 1
srun: error: nid002273: task 2: Exited with exit code 1
srun: error: nid002445: task 3: Exited with exit code 1
",1.3559266921430841,49.4
7,7,"{""tp"": 2, ""dp"": 2, ""pp"": 3, ""ep"": 2, ""micro_batch_size"": 1, ""activation_checkpointing"": false}","{""gpu_step_score"": 1.3794925489849306}",1.3794925489849306,success,,1.3794925489849306,50.3
8,8,"{""tp"": 2, ""dp"": 2, ""pp"": 3, ""ep"": 2, ""micro_batch_size"": 2, ""activation_checkpointing"": false}","{""gpu_step_score"": 1.6939446136195224}",1.6939446136195224,success,,1.6939446136195224,36.8
9,9,"{""tp"": 2, ""dp"": 1, ""pp"": 3, ""ep"": 1, ""micro_batch_size"": 2, ""activation_checkpointing"": true}",{},-inf,error,"exit 1: "", line 650, in _assign_worker_ranks
    ) = json.loads(store.get(f""{ASSIGNED_RANKS_PREFIX}{group_rank}""))
                   ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
torch.distributed.DistNetworkError: Failed to recv, got 0 bytes. Connection was likely closed. Did the remote server shutdown or crash?
srun: error: nid001720: task 0: Exited with exit code 1
srun: Terminating StepId=52489497.8
srun: error: nid002273: task 2: Exited with exit code 1
srun: error: nid002445: task 3: Exited with exit code 1
srun: error: nid002088: task 1: Terminated
srun: Force Terminated StepId=52489497.8
",1.6939446136195224,40.6
