iteration,version,config,metrics,score,status,error_msg,best_score,search_time_s
0,0,"{""tp"": 4, ""dp"": 4, ""pp"": 1, ""ep"": 4, ""micro_batch_size"": 1, ""activation_checkpointing"": true}","{""avg_step_time"": 3.3588764337187498}",3.3588764337187498,success,,3.3588764337187498,
1,1,"{""tp"": 2, ""dp"": 4, ""pp"": 1, ""ep"": 4, ""micro_batch_size"": 2, ""activation_checkpointing"": true}",{},inf,error,"exit 1: Root Cause (first observed failure):
[0]:
  time      : 2026-05-04_16:43:43
  host      : nid001168-hsn0
  rank      : 5 (local_rank: 1)
  exitcode  : 1 (pid: 1625530)
  error_file: <N/A>
  traceback : To enable traceback see: https://pytorch.org/docs/stable/elastic/errors.html
============================================================
srun: error: nid001160: task 0: Exited with exit code 1
srun: Terminating StepId=52447530.2
srun: error: nid001168: task 1: Exited with exit code 1
srun: error: nid001252: task 2: Exited with exit code 1
srun: error: nid001253: task 3: Exited with exit code 1
",3.3588764337187498,28.7
2,2,"{""tp"": 4, ""dp"": 4, ""pp"": 1, ""ep"": 4, ""micro_batch_size"": 2, ""activation_checkpointing"": true}","{""avg_step_time"": 2.735638534}",2.735638534,success,,2.735638534,24.9
3,3,"{""tp"": 4, ""dp"": 4, ""pp"": 1, ""ep"": 2, ""micro_batch_size"": 2, ""activation_checkpointing"": true}",{},inf,error,"exit 1: Root Cause (first observed failure):
[0]:
  time      : 2026-05-04_16:47:51
  host      : nid001160-hsn0
  rank      : 1 (local_rank: 1)
  exitcode  : 1 (pid: 2073807)
  error_file: <N/A>
  traceback : To enable traceback see: https://pytorch.org/docs/stable/elastic/errors.html
============================================================
srun: error: nid001160: task 0: Exited with exit code 1
srun: Terminating StepId=52447530.4
srun: error: nid001253: task 3: Exited with exit code 1
srun: error: nid001168: task 1: Exited with exit code 1
srun: error: nid001252: task 2: Exited with exit code 1
",2.735638534,26.2
4,4,"{""tp"": 4, ""dp"": 2, ""pp"": 1, ""ep"": 1, ""micro_batch_size"": 4, ""activation_checkpointing"": true}",{},inf,error,"exit 1: /elastic/agent/server/api.py"", line 650, in _assign_worker_ranks
    ) = json.loads(store.get(f""{ASSIGNED_RANKS_PREFIX}{group_rank}""))
                   ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
torch.distributed.DistNetworkError: Failed to recv, got 0 bytes. Connection was likely closed. Did the remote server shutdown or crash?
srun: error: nid001160: task 0: Exited with exit code 1
srun: Terminating StepId=52447530.5
srun: error: nid001168: task 1: Exited with exit code 1
srun: error: nid001253: task 3: Exited with exit code 1
srun: error: nid001252: task 2: Exited with exit code 1
",2.735638534,29.1
5,5,"{""tp"": 4, ""dp"": 4, ""pp"": 1, ""ep"": 4, ""micro_batch_size"": 2, ""activation_checkpointing"": false}","{""avg_step_time"": 2.6331132597187503}",2.6331132597187503,success,,2.6331132597187503,25.8
6,6,"{""tp"": 1, ""dp"": 4, ""pp"": 1, ""ep"": 4, ""micro_batch_size"": 2, ""activation_checkpointing"": true}",{},inf,error,"exit 1: rs.ChildFailedError: 
============================================================
pretrain_gpt.py FAILED
------------------------------------------------------------
Failures:
  <NO_OTHER_FAILURES>
------------------------------------------------------------
Root Cause (first observed failure):
[0]:
  time      : 2026-05-04_16:52:48
  host      : nid001160-hsn0
  rank      : 1 (local_rank: 1)
  exitcode  : 2 (pid: 2078900)
  error_file: <N/A>
  traceback : To enable traceback see: https://pytorch.org/docs/stable/elastic/errors.html
============================================================
",2.6331132597187503,34.1
7,7,"{""tp"": 4, ""dp"": 2, ""pp"": 1, ""ep"": 2, ""micro_batch_size"": 4, ""activation_checkpointing"": false}",{},inf,error,"exit 1: /elastic/agent/server/api.py"", line 650, in _assign_worker_ranks
    ) = json.loads(store.get(f""{ASSIGNED_RANKS_PREFIX}{group_rank}""))
                   ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
torch.distributed.DistNetworkError: Failed to recv, got 0 bytes. Connection was likely closed. Did the remote server shutdown or crash?
srun: error: nid001160: task 0: Exited with exit code 1
srun: Terminating StepId=52447530.7
srun: error: nid001168: task 1: Exited with exit code 1
srun: error: nid001252: task 2: Exited with exit code 1
srun: error: nid001253: task 3: Exited with exit code 1
",2.6331132597187503,39.7
8,8,"{""tp"": 4, ""dp"": 1, ""pp"": 3, ""ep"": 1, ""micro_batch_size"": 4, ""activation_checkpointing"": true}","{""avg_step_time"": 1.6421896705833334}",1.6421896705833334,success,,1.6421896705833334,37.2
9,9,"{""tp"": 4, ""dp"": 1, ""pp"": 3, ""ep"": 1, ""micro_batch_size"": 2, ""activation_checkpointing"": false}","{""avg_step_time"": 2.3370008511666667}",2.3370008511666667,success,,1.6421896705833334,25.5
